???Eastern Power Group PCL (EP) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,4.58,6.65,4.50,5.90,"4,180,560"
12/31/2020,3.66,5.30,2.56,4.58,???
12/31/2019,2.64,4.40,2.52,3.66,???
12/31/2018,5.18,5.64,2.54,2.64,???
12/29/2017,5.78,7.02,5.00,5.18,"2,227,100"
12/30/2016,4.61,6.47,4.23,5.78,"2,863,248"
12/31/2015,5.44,6.43,4.40,4.61,"3,441,538"
12/31/2014,3.04,7.64,2.56,5.44,"9,906,971"
12/31/2013,2.26,3.75,2.26,3.04,"5,058,460"
12/31/2012,1.44,2.39,1.44,2.26,"3,737,687"
12/30/2011,1.32,1.51,1.10,1.44,"1,772,940"
