???The Erawan Group PCL (ERW) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.31,3.44,2.21,3.24,"27,685,046"
12/31/2020,3.82,3.82,1.22,2.31,???
12/31/2019,4.04,5.01,3.21,3.82,???
12/31/2018,5.58,5.78,3.85,4.04,???
12/29/2017,2.89,5.68,2.82,5.58,"13,318,010"
12/30/2016,2.79,3.40,2.39,2.89,"10,325,311"
12/31/2015,2.98,3.24,2.25,2.79,"6,422,268"
12/31/2014,2.11,3.43,1.93,2.98,"14,074,444"
12/31/2013,2.85,4.27,2.07,2.11,"22,574,821"
12/31/2012,1.50,3.08,1.50,2.85,"4,941,974"
12/30/2011,1.60,1.99,1.34,1.50,"2,678,474"
