???Esso Thailand PCL (ESSO) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,7.40,9.40,7.30,8.60,"28,912,238"
12/31/2020,8.65,9.70,3.14,7.40,???
12/31/2019,10.20,12.20,6.55,8.65,???
12/31/2018,17.60,19.50,10.10,10.20,???
12/29/2017,12.80,18.20,9.40,17.60,"21,031,040"
12/30/2016,4.98,13.90,4.54,12.80,"18,650,557"
12/31/2015,4.58,7.05,4.40,4.98,"2,950,667"
12/31/2014,6.00,6.65,4.32,4.58,"2,507,031"
12/31/2013,10.10,11.80,5.85,6.00,"8,657,758"
12/31/2012,10.80,14.60,8.80,10.10,"19,517,265"
12/30/2011,8.20,14.00,6.85,10.80,"24,378,134"
