???Eastern Star Real Estate PCL (ESTAR) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.43,0.71,0.41,0.65,"19,910,781"
12/31/2020,0.36,0.49,0.18,0.43,???
12/31/2019,0.52,0.59,0.34,0.36,???
12/31/2018,0.77,0.83,0.51,0.52,???
12/29/2017,0.69,0.84,0.68,0.77,"4,744,884"
12/30/2016,0.58,0.85,0.53,0.69,"6,834,690"
12/31/2015,1.04,1.25,0.54,0.58,"15,563,260"
12/31/2014,0.59,1.31,0.48,1.04,"70,917,738"
12/31/2013,0.89,1.39,0.58,0.59,"26,492,920"
12/31/2012,0.48,0.95,0.47,0.89,"43,490,484"
12/30/2011,0.47,0.68,0.40,0.48,"18,640,557"
