???Everland PCL (EVER) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.22,0.49,0.21,0.41,"66,741,994"
12/31/2020,0.26,0.29,0.09,0.22,???
12/31/2019,0.48,0.59,0.23,0.26,???
12/31/2018,0.42,0.62,0.34,0.48,???
12/29/2017,0.77,0.89,0.40,0.42,"10,056,308"
12/30/2016,0.63,1.02,0.46,0.77,"23,654,601"
12/31/2015,2.95,3.68,0.49,0.63,"32,455,955"
12/31/2014,0.98,4.42,0.79,2.95,"46,562,302"
12/31/2013,0.53,1.78,0.47,0.98,"36,004,422"
12/31/2012,0.48,0.64,0.38,0.53,"12,570,824"
12/30/2011,0.38,1.15,0.31,0.48,"16,208,042"
