???Far East Fame Line DDB PCL (FE) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,190.00,200.00,140.50,190.00,"0,053"
12/31/2020,200.00,226.00,168.00,190.00,"0,039"
12/31/2019,170.00,226.00,158.50,200.00,"0,076"
12/31/2018,212.00,226.00,130.00,170.00,"0,353"
12/29/2017,139.50,236.00,130.00,212.00,"0,188"
12/30/2016,128.00,160.00,119.00,139.50,"0,314"
12/31/2015,242.00,250.00,120.00,128.00,"0,214"
12/31/2014,230.00,250.00,177.50,242.00,"0,166"
12/31/2013,190.00,244.00,180.00,230.00,"11,635"
12/31/2012,110.00,250.00,108.00,190.00,"0,894"
12/30/2011,105.00,128.00,90.00,110.00,"52,106"
