???Fine Metal Technologies PCL (FMT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,19.40,33.25,19.30,29.25,"14,834"
12/31/2020,23.50,24.90,18.00,19.40,???
12/31/2019,25.25,26.50,20.00,23.50,???
12/31/2018,30.25,31.00,23.60,25.25,"3,470"
12/29/2017,36.50,44.00,29.25,30.25,"3,584"
12/30/2016,26.00,42.50,21.10,36.50,"4,127"
12/31/2015,19.50,33.25,18.50,26.00,"8,063"
12/31/2014,13.60,26.50,12.40,19.50,"10,890"
12/31/2013,15.50,19.50,12.70,13.60,"3,060"
12/31/2012,17.20,18.00,13.40,15.50,"4,281"
12/30/2011,17.00,20.00,15.90,17.20,"6,290"
