???Forth Corp PCL (FORTH) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,6.10,12.50,5.90,11.30,"1,797,570"
12/31/2020,5.55,6.70,4.96,6.10,???
12/31/2019,5.95,6.85,5.30,5.55,???
12/31/2018,7.20,7.25,5.80,5.95,???
12/29/2017,7.15,8.40,6.75,7.20,"614,785"
12/30/2016,7.55,8.60,5.50,7.15,"1,829,029"
12/31/2015,5.90,11.20,3.96,7.55,"5,123,342"
12/31/2014,5.07,7.70,4.51,5.90,"1,298,735"
12/31/2013,3.49,8.64,3.45,5.07,"2,612,881"
12/31/2012,3.30,3.77,2.95,3.49,"576,244"
12/30/2011,3.92,4.00,2.93,3.30,"439,354"
