???Finansia Syrus Securities PCL (FSS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.82,4.46,1.80,4.32,"6,680,621"
12/31/2020,1.59,1.92,0.65,1.82,???
12/31/2019,1.84,2.16,1.54,1.59,???
12/31/2018,2.84,3.28,1.84,1.84,???
12/29/2017,2.86,3.84,2.70,2.84,"930,997"
12/30/2016,3.02,3.06,2.40,2.86,"225,418"
12/31/2015,3.20,3.92,2.82,3.02,"250,589"
12/31/2014,3.84,4.33,2.80,3.20,"626,352"
12/31/2013,2.23,6.37,2.21,3.84,"3,680,266"
12/31/2012,1.81,2.53,1.64,2.23,"1,036,757"
12/30/2011,2.24,2.87,1.32,1.81,"368,443"
