???Globlex Holding Management PCL (GBX) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.51,1.76,0.48,1.38,"30,729,723"
12/31/2020,0.50,0.59,0.29,0.51,???
12/31/2019,0.53,0.92,0.49,0.50,???
12/31/2018,0.75,0.80,0.52,0.53,???
12/29/2017,0.80,0.90,0.73,0.75,"542,476"
12/30/2016,0.75,0.83,0.62,0.80,"508,001"
12/31/2015,0.92,1.22,0.73,0.75,"2,660,141"
12/31/2014,1.22,1.43,0.81,0.92,"9,779,078"
12/31/2013,0.74,1.54,0.74,1.22,"14,069,512"
12/31/2012,0.70,0.84,0.62,0.74,"3,771,021"
12/30/2011,1.00,1.04,0.58,0.70,"3,438,986"
