???Global Connections PCL (GC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.75,12.70,5.60,10.60,"552,608"
12/31/2020,6.05,6.20,4.00,5.75,???
12/31/2019,5.05,6.15,4.98,6.05,???
12/31/2018,5.10,5.50,4.92,5.05,???
12/29/2017,5.05,7.55,5.00,5.10,"906,295"
12/30/2016,4.08,5.40,4.02,5.05,"318,902"
12/31/2015,3.94,5.30,3.50,4.08,"1,436,619"
12/31/2014,4.48,4.66,3.68,3.94,"127,245"
12/31/2013,4.78,5.20,4.30,4.48,"103,105"
12/31/2012,4.92,5.90,4.60,4.78,"200,181"
12/30/2011,5.60,6.70,4.72,4.92,"155,161"
