???General Engineering PCL (GEL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.26,0.53,0.23,0.41,"2,575,000"
12/31/2020,0.15,0.31,0.07,0.26,???
12/31/2019,0.28,0.32,0.14,0.15,???
12/31/2018,0.41,0.42,0.22,0.28,???
12/29/2017,0.50,0.55,0.41,0.41,"2,428,700"
12/30/2016,0.54,0.64,0.41,0.50,"29,400,000"
12/31/2015,1.05,1.22,0.44,0.54,"0,000"
12/31/2014,0.73,1.36,0.58,1.05,"0,000"
12/31/2013,0.62,2.14,0.62,0.73,"0,000"
12/31/2012,0.22,0.69,0.21,0.62,???
12/30/2011,1.29,1.40,0.21,0.22,???
