???Gratitude Infinite PCL (GIFT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.10,2.78,1.89,2.22,"1,734,338"
12/31/2020,2.30,2.80,1.70,2.10,???
12/31/2019,3.74,4.00,1.82,2.30,???
12/31/2018,4.72,6.30,3.50,3.74,???
12/29/2017,3.90,7.70,3.90,4.72,"3,217,700"
12/30/2016,2.88,4.10,2.36,3.90,"495,232"
12/31/2015,4.32,6.40,2.80,2.88,"825,378"
12/31/2014,1.61,5.26,1.40,4.32,"3,532,912"
12/31/2013,2.09,3.46,1.54,1.61,"1,317,328"
12/31/2012,2.05,2.53,1.85,2.09,"2,421,957"
12/30/2011,1.90,3.16,1.35,2.05,"12,195,509"
