???G J Steel PCL (GJS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.16,0.58,0.15,0.39,"103,456,014"
12/31/2020,0.13,0.18,0.04,0.16,???
12/31/2019,0.12,0.19,0.11,0.13,???
12/31/2018,0.38,0.41,0.11,0.12,???
12/29/2017,0.36,0.60,0.30,0.38,"49,514,036"
12/30/2016,0.17,0.40,0.11,0.36,"27,014,848"
12/31/2015,0.60,0.70,0.15,0.17,"8,687,626"
12/31/2014,0.60,1.10,0.30,0.60,"10,482,745"
12/31/2013,0.80,1.60,0.50,0.60,"26,956,115"
12/31/2012,1.23,1.85,0.70,0.80,"7,806,074"
12/30/2011,2.29,2.64,1.14,1.23,"6,187,429"
