???Group Lease PCL (GL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.20,1.20,0.47,0.65,"5,322,035"
12/31/2020,4.24,4.96,1.08,1.20,"6,628,523"
12/31/2019,5.35,8.90,4.04,4.24,???
12/31/2018,6.80,9.65,4.94,5.35,???
12/29/2017,57.25,65.50,6.55,6.80,"24,170,448"
12/30/2016,19.20,69.75,18.10,57.25,"9,025,279"
12/31/2015,5.75,20.30,5.10,19.20,"5,638,634"
12/31/2014,5.25,7.20,4.60,5.75,"893,690"
12/31/2013,7.35,13.00,4.90,5.25,"1,848,413"
12/31/2012,2.40,9.08,2.38,7.35,"2,176,458"
12/30/2011,2.48,3.25,2.08,2.40,"2,137,818"
