???Siam Global House PCL (GLOBAL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,16.26,24.30,15.69,22.20,"14,566,455"
12/31/2020,14.79,20.09,7.60,16.26,???
12/31/2019,16.96,17.30,13.06,14.79,???
12/31/2018,14.19,18.61,12.17,16.96,???
12/29/2017,14.39,15.44,10.69,14.19,"6,717,012"
12/30/2016,7.19,14.63,6.36,14.39,"7,504,725"
12/31/2015,7.22,9.16,6.02,7.19,"4,073,238"
12/31/2014,8.97,10.34,6.76,7.22,"6,592,254"
12/31/2013,8.66,15.47,8.06,8.97,"8,036,990"
12/31/2012,3.81,9.20,3.65,8.66,"8,299,021"
12/30/2011,2.92,4.14,2.31,3.81,"7,552,771"
