???Global Consumer PCL (GLOCON) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.94,1.16,0.73,1.15,"23,359,926"
12/31/2020,0.72,1.20,0.34,0.94,???
12/31/2019,1.15,1.30,0.70,0.72,???
12/31/2018,0.73,1.88,0.67,1.15,???
12/29/2017,1.19,1.22,0.51,0.73,"5,064,922"
12/30/2016,1.53,1.59,0.67,1.19,"4,223,753"
12/31/2015,4.21,5.00,1.40,1.53,"12,602,472"
12/31/2014,1.02,6.36,0.92,4.21,"14,967,160"
12/31/2013,1.49,4.05,0.89,1.02,"20,357,961"
12/31/2012,1.03,3.21,1.03,1.49,"13,085,492"
12/30/2011,1.03,1.03,1.03,1.03,"0,076"
