???GMM Grammy PCL (GRAMMY) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,9.10,19.00,9.00,16.00,"342,891"
12/31/2020,10.30,11.00,5.95,9.10,???
12/31/2019,6.00,12.00,5.60,10.30,???
12/31/2018,10.30,10.70,5.95,6.00,???
12/29/2017,8.70,14.20,8.70,10.30,"467,206"
12/30/2016,8.90,11.30,7.00,8.70,"158,195"
12/31/2015,12.80,16.90,8.80,8.90,"448,246"
12/31/2014,18.84,19.14,11.40,12.80,"406,831"
12/31/2013,16.35,23.83,13.92,18.84,"649,787"
12/31/2012,16.82,31.77,16.07,16.35,"1,224,313"
12/30/2011,14.20,18.88,12.52,16.82,"92,973"
