???Green Resources PCL (GREEN) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.02,2.00,0.95,1.80,"6,428,589"
12/31/2020,0.81,1.17,0.49,1.02,???
12/31/2019,1.01,1.21,0.74,0.81,???
12/31/2018,1.28,1.67,0.99,1.01,???
12/29/2017,1.05,2.00,1.04,1.28,"4,169,090"
12/30/2016,1.08,1.65,0.75,1.05,"4,095,028"
12/31/2015,7.00,7.85,1.00,1.08,"5,313,715"
12/31/2014,2.04,13.30,1.10,7.00,"9,641,619"
12/31/2013,0.73,4.58,0.73,2.04,"5,478,708"
12/31/2012,0.45,0.82,0.45,0.73,"3,035,838"
12/30/2011,0.66,0.81,0.40,0.45,"3,073,420"
