???G Steel PCL (GSTEEL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.09,0.09,0.09,0.09,"0,000"
12/31/2020,0.09,0.09,0.09,0.09,"0,000"
12/31/2019,0.13,0.13,0.04,0.09,"3,520,026"
12/31/2018,0.19,0.19,0.12,0.13,"3,151,331"
12/29/2017,0.34,0.58,0.16,0.19,"36,092,955"
12/30/2016,0.23,0.42,0.17,0.34,"7,739,532"
12/31/2015,0.70,0.80,0.19,0.23,"7,074,699"
12/31/2014,0.50,1.45,0.30,0.70,"17,878,914"
12/31/2013,1.70,2.35,0.45,0.50,"26,594,684"
12/31/2012,1.85,2.70,1.40,1.70,"19,586,504"
12/30/2011,3.45,4.35,1.50,1.85,"19,046,500"
