???Gunkul Engineering PCL (GUNKUL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.52,4.24,2.48,3.88,"145,072,277"
12/31/2020,2.98,3.00,1.84,2.52,???
12/31/2019,2.33,3.28,2.32,2.98,???
12/31/2018,3.30,3.52,2.20,2.33,???
12/29/2017,4.04,4.71,3.08,3.30,"28,173,200"
12/30/2016,3.89,4.93,2.87,4.04,"17,496,907"
12/31/2015,4.07,5.64,3.37,3.89,"21,872,910"
12/31/2014,1.25,4.50,1.06,4.07,"47,097,770"
12/31/2013,1.63,3.11,1.25,1.25,"29,555,220"
12/31/2012,1.07,1.71,1.04,1.63,"46,690,690"
12/30/2011,0.48,1.29,0.46,1.07,"85,519,991"
