???Hwa Fong Rubber (Thailand) PCL (HFT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.00,8.10,4.88,7.20,"5,311,554"
12/31/2020,3.08,5.15,1.95,5.00,???
12/31/2019,2.92,3.16,2.46,3.08,???
12/31/2018,4.64,4.66,2.86,2.92,???
12/29/2017,4.66,5.80,4.56,4.64,"1,961,620"
12/30/2016,5.45,6.55,3.96,4.66,"5,438,626"
12/31/2015,3.50,6.35,3.46,5.45,"9,491,959"
12/31/2014,2.82,4.78,2.62,3.50,"3,324,985"
12/31/2013,2.42,3.62,2.08,2.82,"5,076,807"
12/31/2012,1.91,2.82,1.66,2.42,"6,656,674"
12/30/2011,2.28,2.38,1.85,1.91,"225,002"
