???Home Product Center PCL (HMPRO) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,13.70,15.20,13.10,14.70,"26,785,975"
12/31/2020,16.00,16.70,9.00,13.70,???
12/31/2019,15.20,18.80,14.50,16.00,???
12/31/2018,12.80,16.10,12.70,15.20,???
12/29/2017,10.20,13.70,9.15,12.80,"18,064,334"
12/30/2016,7.00,11.50,6.40,10.20,"21,715,201"
12/31/2015,7.73,8.30,5.95,7.00,"13,301,370"
12/31/2014,6.82,9.25,5.91,7.73,"20,526,706"
12/31/2013,6.75,10.56,6.25,6.82,"39,981,765"
12/31/2012,4.91,7.02,4.87,6.75,"25,226,657"
12/30/2011,3.01,5.27,2.59,4.91,"28,780,617"
