???Halcyon Technology PCL (HTECH) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,3.10,7.30,2.82,5.75,"4,176,613"
12/31/2020,3.30,3.52,1.16,3.10,???
12/31/2019,5.30,6.20,2.94,3.30,???
12/31/2018,8.55,9.60,5.15,5.30,???
12/29/2017,5.50,12.70,5.10,8.55,"6,721,273"
12/30/2016,2.42,5.80,2.30,5.50,"3,222,283"
12/31/2015,2.78,4.16,2.22,2.42,"1,626,160"
12/31/2014,2.06,3.70,1.86,2.78,"1,106,756"
12/31/2013,4.26,4.78,1.98,2.06,"1,359,470"
12/31/2012,2.80,5.85,2.74,4.26,"651,365"
12/30/2011,4.06,4.18,2.46,2.80,"474,365"
