???Hydrotek PCL (HYDRO) Historical Prices,,,,,
Date,Open,High,Low,Close,Volume
06-08-21,0.23,0.56,0.17,0.45,"4,621,341"
12/31/2020,0.26,0.32,0.07,0.23,???
12/31/2019,1.02,1.05,0.19,0.26,???
12/31/2018,1.35,1.46,0.82,1.02,???
12/29/2017,1.06,1.88,0.8,1.35,"5,023,342"
12/30/2016,1.05,1.61,0.72,1.06,"4,072,173"
12/31/2015,1.74,2.67,0.86,1.05,"4,393,768"
12/31/2014,1.83,3.02,1.51,1.74,"4,904,132"
12/31/2013,3.7,6.37,1.8,1.83,"2,604,577"
12/31/2012,1.49,3.97,1.49,3.7,"10,853,311"
12/30/2011,1.7,1.82,1.35,1.49,"85,033,131"
,,,,,
