???Inter Far East Energy Corp PCL (IFEC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.35,0.35,0.35,0.35,"0,000"
12/31/2020,0.35,0.35,0.35,0.35,"0,000"
12/31/2019,3.10,3.10,0.21,0.35,"15,348,092"
12/31/2018,3.10,3.10,3.10,3.10,"0,000"
12/29/2017,3.74,3.98,3.08,3.10,"1,247,133"
12/30/2016,6.55,7.80,3.50,3.74,"28,478,252"
12/31/2015,8.56,14.32,5.55,6.55,"42,754,116"
12/31/2014,2.87,11.10,1.94,8.56,"45,613,497"
12/31/2013,1.54,3.34,1.47,2.87,"27,150,562"
12/31/2012,1.06,1.65,1.00,1.54,"8,867,344"
12/30/2011,0.95,1.37,0.66,1.06,"5,514,921"
