???IFS Capital Holdings (Thailand) PCL (IFS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.52,2.96,2.42,2.70,"972,768"
12/31/2020,3.14,3.38,1.69,2.52,???
12/31/2019,3.00,3.62,2.82,3.14,???
12/31/2018,3.70,3.84,2.76,3.00,???
12/29/2017,2.72,4.22,2.70,3.70,"5,523,834"
12/30/2016,2.48,2.90,2.19,2.72,"1,097,026"
12/31/2015,2.80,5.38,2.11,2.48,"5,794,920"
12/31/2014,2.46,3.58,2.17,2.80,"1,078,733"
12/31/2013,2.40,3.39,1.87,2.46,"1,725,132"
12/31/2012,1.22,2.82,1.19,2.40,"5,216,712"
12/30/2011,1.43,1.50,1.01,1.22,"623,493"
