???Interlink Communication PCL (ILINK) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,4.48,7.70,4.40,7.10,"3,136,207"
12/31/2020,3.56,6.50,1.86,4.48,???
12/31/2019,3.83,5.72,3.38,3.56,???
12/31/2018,8.50,8.69,3.77,3.83,???
12/29/2017,13.13,13.13,8.19,8.50,"1,817,304"
12/30/2016,10.13,14.31,8.07,13.13,"5,283,795"
12/31/2015,7.57,12.80,7.39,10.13,"703,257"
12/31/2014,1.97,9.00,1.87,7.57,"1,357,066"
12/31/2013,1.79,2.84,1.61,1.97,"4,643,828"
12/31/2012,0.66,1.97,0.66,1.79,"4,498,342"
12/30/2011,0.71,0.76,0.51,0.66,"1,005,136"
