???Internet Thailand PCL (INET) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,4.16,4.66,3.46,3.98,"7,520,255"
12/31/2020,2.16,4.54,1.48,4.16,???
12/31/2019,3.04,3.58,2.12,2.16,???
12/31/2018,4.18,4.34,2.98,3.04,???
12/29/2017,4.70,5.20,3.84,4.18,"4,873,276"
12/30/2016,3.30,6.20,2.86,4.70,"9,125,054"
12/31/2015,2.78,3.45,1.89,3.30,"1,903,626"
12/31/2014,2.70,3.35,2.43,2.78,"4,791,854"
12/31/2013,1.97,5.08,1.92,2.70,"12,235,315"
12/31/2012,0.90,2.43,0.79,1.97,"7,075,837"
12/30/2011,1.10,1.19,0.76,0.90,"1,208,090"
