???International Research Corp PCL (IRCP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.76,2.26,0.74,1.59,"5,662,851"
12/31/2020,0.49,0.90,0.26,0.76,???
12/31/2019,0.55,1.08,0.42,0.49,???
12/31/2018,1.68,2.02,0.55,0.55,???
12/29/2017,3.98,4.46,1.55,1.68,"2,297,949"
12/30/2016,5.25,6.85,3.24,3.98,"1,601,592"
12/31/2015,5.04,12.33,4.50,5.25,"5,428,887"
12/31/2014,2.26,6.21,2.12,5.04,"7,229,525"
12/31/2013,1.22,4.42,1.15,2.26,"7,062,206"
12/31/2012,1.38,1.63,1.06,1.22,"180,241"
12/30/2011,1.76,2.45,1.33,1.38,"205,001"
