???IRPC PCL (IRPC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.72,4.32,3.24,4.02,"286,076,136"
12/31/2020,3.68,4.02,1.76,3.72,???
12/31/2019,5.75,6.20,3.14,3.68,???
12/31/2018,7.05,8.35,5.50,5.75,???
12/29/2017,4.80,7.10,4.80,7.05,"108,646,786"
12/30/2016,4.34,5.30,4.10,4.80,"112,769,718"
12/31/2015,3.06,4.82,3.00,4.34,"102,452,664"
12/31/2014,3.26,3.76,2.60,3.06,"27,456,761"
12/31/2013,4.12,4.66,2.94,3.26,"42,449,244"
12/31/2012,4.08,4.92,3.46,4.12,"58,843,661"
12/30/2011,6.55,6.65,3.10,4.08,"117,916,374"
