???It City PCL (IT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.36,6.90,2.08,5.95,"1,471,846"
12/31/2020,2.88,3.00,1.30,2.36,???
12/31/2019,3.28,3.66,2.20,2.88,???
12/31/2018,4.74,5.20,3.02,3.28,???
12/29/2017,3.12,5.55,3.06,4.74,"3,354,643"
12/30/2016,2.28,3.98,2.20,3.12,"872,298"
12/31/2015,2.70,3.46,2.16,2.28,"571,155"
12/31/2014,2.72,3.98,2.54,2.70,"807,113"
12/31/2013,5.00,6.30,2.70,2.72,"898,594"
12/31/2012,10.50,12.30,4.92,5.00,"909,500"
12/30/2011,8.50,12.60,8.10,10.50,"346,457"
