???Indorama Ventures PCL (IVL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,37.00,50.00,33.75,43.25,"32,042,903"
12/31/2020,35.00,42.00,16.10,37.00,???
12/31/2019,54.25,55.50,25.25,35.00,???
12/31/2018,53.25,63.00,49.50,54.25,???
12/29/2017,33.50,54.50,33.25,53.25,"22,251,233"
12/30/2016,21.60,36.00,19.30,33.50,"30,527,593"
12/31/2015,20.20,28.50,18.80,21.60,"9,685,602"
12/31/2014,20.00,29.75,18.20,20.20,"15,364,974"
12/31/2013,25.25,28.25,15.80,20.00,"15,428,849"
12/31/2012,29.25,42.50,22.90,25.25,"22,600,636"
12/30/2011,58.50,59.00,23.20,29.25,"22,444,957"
