???Jasmine International PCL (JAS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.18,3.36,2.70,2.90,"38,765,415"
12/31/2020,5.00,5.75,2.52,3.18,???
12/31/2019,4.46,8.00,4.02,5.00,???
12/31/2018,7.10,8.50,4.14,4.46,???
12/29/2017,7.90,9.65,6.65,7.10,"39,398,885"
12/30/2016,3.28,10.20,2.70,7.90,"246,556,020"
12/31/2015,7.35,9.25,3.04,3.28,"263,127,032"
12/31/2014,6.70,8.70,5.70,7.35,"145,589,633"
12/31/2013,5.40,10.00,5.05,6.70,"160,940,472"
12/31/2012,2.06,5.50,1.99,5.40,"191,339,627"
12/30/2011,2.04,3.92,1.40,2.06,"323,854,434"
