???JCK International PCL (JCK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.23,1.51,0.99,1.35,"13,943,508"
12/31/2020,0.91,2.24,0.51,1.23,???
12/31/2019,1.49,1.75,0.72,0.91,???
12/31/2018,1.87,1.96,1.40,1.49,???
12/29/2017,2.26,2.40,1.73,1.87,"3,780,125"
12/30/2016,2.09,4.06,2.07,2.26,"6,866,805"
12/31/2015,3.70,6.53,2.03,2.09,"10,513,905"
12/31/2014,5.74,7.52,3.38,3.70,"7,398,315"
12/31/2013,3.23,15.42,3.18,5.74,"12,849,442"
12/31/2012,1.04,3.40,1.04,3.23,"12,524,732"
12/30/2011,0.62,1.16,0.54,1.04,"10,972,135"
