???JCK Hospitality Public Co Ltd (JCKH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.29,0.92,0.27,0.82,"1,901,527"
12/31/2020,0.24,0.42,0.10,0.29,???
12/31/2019,0.53,1.15,0.21,0.24,???
12/31/2018,1.42,2.30,0.50,0.53,???
12/29/2017,2.50,2.67,1.40,1.42,"1,195,906"
12/30/2016,2.00,3.17,1.74,2.50,"3,364,283"
12/31/2015,2.84,3.41,1.87,2.00,"435,585"
12/31/2014,3.43,3.61,2.43,2.84,"1,527,308"
12/31/2013,3.69,3.93,2.21,3.43,"2,301,841"
12/31/2012,3.61,5.33,3.43,3.69,"17,686,780"
09/18/2012,3.61,3.71,3.43,3.52,"195,888,513"
