???Jack Chia Industries (Thailand) PCL (JCT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,80.75,90.00,75.00,79.50,"1,077"
12/31/2020,84.75,85.25,62.00,80.75,???
12/31/2019,83.50,94.75,78.75,84.75,"0,494"
12/31/2018,86.00,95.00,83.00,83.50,???
12/29/2017,83.00,112.00,62.25,86.00,"0,604"
12/30/2016,86.00,101.00,70.00,83.00,"1,647"
12/31/2015,117.00,148.00,82.00,86.00,"2,608"
12/31/2014,70.00,145.00,69.00,117.00,"2,548"
12/31/2013,68.50,81.00,60.25,70.00,"3,243"
12/31/2012,55.00,75.50,52.00,68.50,"2,250"
12/30/2011,54.00,56.75,45.00,55.00,"1,490"
