???Jay Mart PCL (JMART) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,20.00,44.50,19.50,37.25,"13,369,744"
12/31/2020,8.35,21.20,4.38,20.00,???
12/31/2019,3.84,10.53,3.82,8.35,???
12/31/2018,14.58,20.45,3.55,3.84,???
12/29/2017,10.07,16.60,9.23,14.58,"5,293,992"
12/30/2016,4.43,10.41,4.02,10.07,"5,515,060"
12/31/2015,5.74,8.58,4.28,4.43,"6,229,508"
12/31/2014,9.14,9.50,5.45,5.74,"1,922,930"
12/31/2013,6.32,13.64,6.32,9.14,"2,621,290"
12/31/2012,2.25,7.23,2.23,6.32,"3,875,580"
12/30/2011,1.21,2.44,1.05,2.25,"2,900,249"
