???JMT Network Services PCL (JMT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,36.00,49.00,34.25,41.50,"8,578,118"
12/31/2020,20.00,39.00,10.80,36.00,???
12/31/2019,11.20,23.30,9.90,20.00,???
12/31/2018,15.50,20.13,9.75,11.20,???
12/29/2017,10.20,17.88,9.25,15.50,"2,793,830"
12/30/2016,6.10,10.35,4.60,10.20,"1,347,648"
12/31/2015,8.14,10.82,5.80,6.10,"665,519"
12/31/2014,5.85,9.90,5.31,8.14,"248,063"
12/31/2013,5.46,11.75,3.90,5.85,"1,673,280"
12/31/2012,5.85,6.34,5.02,5.46,"17,325,703"
11/27/2012,5.85,5.85,5.17,5.85,"252,768,332"
