???Jasmine Telecom Systems PCL (JTS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.93,18.30,1.81,16.70,"2,420,998"
12/31/2020,1.02,3.62,0.50,1.93,???
12/31/2019,1.35,1.79,0.92,1.02,???
12/31/2018,1.69,2.16,1.31,1.35,???
12/29/2017,2.10,2.98,1.66,1.69,"2,300,967"
12/30/2016,1.31,2.48,1.12,2.10,"11,468,414"
12/31/2015,1.57,2.04,1.05,1.31,"5,520,477"
12/31/2014,1.43,1.90,1.29,1.57,"2,997,748"
12/31/2013,2.22,2.64,1.28,1.43,"7,372,766"
12/31/2012,1.36,2.48,1.25,2.22,"19,472,842"
12/30/2011,2.34,2.52,1.07,1.36,"6,379,145"
