???Jutha Maritime PCL (JUTHA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.61,2.22,0.61,1.01,"1,123,632"
12/31/2020,0.35,0.61,0.13,0.61,???
12/31/2019,0.52,0.80,0.30,0.35,"46,387"
12/31/2018,2.05,2.26,0.51,0.52,"171,721"
12/29/2017,2.24,2.77,2.04,2.05,"834,567"
12/30/2016,1.78,3.29,1.63,2.24,"3,817,732"
12/31/2015,2.98,3.59,1.66,1.78,"511,786"
12/31/2014,3.56,4.53,2.89,2.98,"2,610,249"
12/31/2013,3.20,5.43,2.40,3.56,"3,651,026"
12/31/2012,2.79,4.02,2.55,3.20,"556,383"
12/30/2011,4.79,4.88,2.46,2.79,"137,777"
