???Thai Ha PCL (KASET) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.07,2.24,1.03,1.76,"3,608,845"
12/31/2020,1.21,1.85,0.76,1.07,???
12/31/2019,1.82,2.30,1.13,1.21,???
12/31/2018,2.32,2.74,1.77,1.82,???
12/29/2017,2.82,3.40,2.20,2.32,"1,181,775"
12/30/2016,2.94,3.72,2.20,2.82,"758,361"
12/31/2015,2.66,3.98,1.83,2.94,"1,321,592"
12/31/2014,1.70,4.28,1.58,2.66,"992,402"
12/31/2013,3.23,3.40,1.62,1.70,"191,810"
12/31/2012,4.85,5.18,3.19,3.23,"352,943"
12/30/2011,6.07,6.21,3.85,4.85,"834,357"
