???Kasikornbank Public Co Ltd (KBANK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,113.00,153.00,110.00,128.00,"24,573,558"
12/31/2020,151.00,154.50,70.00,113.00,???
12/31/2019,185.00,205.00,130.50,151.00,???
12/31/2018,232.00,245.00,182.00,185.00,???
12/29/2017,177.50,237.00,177.50,232.00,"5,311,183"
12/30/2016,151.00,203.00,144.00,177.50,"8,622,327"
12/31/2015,229.00,236.00,147.00,151.00,"6,752,521"
12/31/2014,156.00,252.00,145.50,229.00,"5,821,413"
12/31/2013,193.50,225.00,156.00,156.00,"7,840,523"
12/31/2012,122.00,203.00,113.50,193.50,"6,219,194"
12/30/2011,127.00,144.00,99.75,122.00,"9,173,646"
