???Khonburi Sugar PCL (KBS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.94,5.60,2.94,5.05,"814,974"
12/31/2020,3.60,3.96,2.12,2.94,???
12/31/2019,3.80,4.38,3.12,3.60,???
12/31/2018,5.40,5.45,3.78,3.80,???
12/29/2017,8.15,9.95,5.35,5.40,"440,610"
12/30/2016,6.55,8.70,6.00,8.15,"350,061"
12/31/2015,9.50,10.50,6.20,6.55,"330,510"
12/31/2014,9.40,12.40,9.00,9.50,"902,265"
12/31/2013,10.50,11.60,8.50,9.40,"1,194,384"
12/31/2012,11.00,12.20,9.35,10.50,"1,702,459"
12/30/2011,10.10,13.90,7.95,11.00,"14,135,343"
