???KCE Electronics PCL (KCE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,41.50,76.50,40.75,72.00,"18,046,596"
12/31/2020,24.50,46.00,11.90,41.50,???
12/31/2019,26.25,33.75,13.30,24.50,???
12/31/2018,41.38,47.50,25.50,26.25,???
12/29/2017,61.00,63.25,39.88,41.38,"6,743,344"
12/30/2016,35.50,65.00,32.88,61.00,"4,326,504"
12/31/2015,17.13,36.13,15.88,35.50,"3,041,068"
12/31/2014,11.75,21.63,9.95,17.13,"4,603,249"
12/31/2013,5.20,12.05,5.10,11.75,"8,422,615"
12/31/2012,2.39,5.35,2.37,5.20,"8,176,189"
12/30/2011,3.88,4.48,1.68,2.39,"6,335,824"
