???Kiattana Transport PCL (KIAT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.56,0.80,0.53,0.70,"47,855,914"
12/31/2020,0.26,0.65,0.21,0.56,???
12/31/2019,0.42,0.45,0.25,0.26,???
12/31/2018,0.51,0.51,0.37,0.42,???
12/29/2017,0.57,0.65,0.49,0.51,"7,471,304"
12/30/2016,0.59,0.74,0.38,0.57,"15,492,274"
12/31/2015,1.19,1.74,0.54,0.59,"45,210,013"
12/31/2014,0.63,1.61,0.57,1.19,"32,211,224"
12/31/2013,0.92,1.03,0.56,0.63,"5,729,829"
12/31/2012,1.06,1.34,0.80,0.92,"15,757,896"
12/30/2011,1.39,1.55,0.74,1.06,"2,795,321"
