???Kulthorn Kirby PCL (KKC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.60,1.46,0.53,1.26,"4,369,125"
12/31/2020,0.80,0.81,0.20,0.60,???
12/31/2019,1.13,1.69,0.77,0.80,???
12/31/2018,2.04,2.30,1.10,1.13,???
12/29/2017,2.40,2.88,2.00,2.04,"1,046,723"
12/30/2016,3.50,3.94,2.24,2.40,"1,831,327"
12/31/2015,2.51,4.44,2.42,3.50,"9,117,375"
12/31/2014,2.10,3.66,1.98,2.51,"1,559,345"
12/31/2013,4.25,4.88,1.96,2.10,"1,280,544"
12/31/2012,3.51,5.69,3.41,4.25,"3,150,661"
12/30/2011,7.15,8.48,2.57,3.51,"2,539,416"
