???Khon Kaen Sugar Industry PCL (KSL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.30,4.90,2.26,4.76,"15,583,738"
12/31/2020,2.24,2.86,1.22,2.30,???
12/31/2019,2.98,3.38,1.88,2.24,???
12/31/2018,4.66,4.76,2.94,2.98,???
12/29/2017,5.65,7.40,4.20,4.66,"10,153,765"
12/30/2016,3.69,6.00,3.12,5.65,"6,163,765"
12/31/2015,5.36,6.14,3.13,3.69,"1,250,900"
12/31/2014,5.45,6.77,5.27,5.36,"1,173,344"
12/31/2013,6.23,7.18,5.00,5.45,"3,188,254"
12/31/2012,6.05,6.77,5.41,6.23,"3,218,317"
12/30/2011,5.86,7.50,4.68,6.05,"5,389,700"
