???King Wai Group (Thailand) PCL (KWG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.26,2.14,1.00,1.73,"3,197,905"
12/31/2020,1.75,1.78,0.63,1.26,???
12/31/2019,1.84,2.16,1.33,1.75,???
12/31/2018,2.68,3.04,1.60,1.84,???
12/29/2017,2.72,5.95,2.30,2.68,"6,458,652"
12/30/2016,2.10,4.96,1.92,2.72,"1,450,649"
12/31/2015,2.48,4.47,1.98,2.10,"3,119,810"
12/31/2014,1.14,3.67,1.04,2.48,"7,107,843"
12/31/2013,1.54,2.54,1.09,1.14,"3,619,538"
12/31/2012,1.51,1.73,1.11,1.54,"4,324,403"
12/30/2011,2.16,2.30,1.22,1.51,"1,581,445"
