???Lalin Property PCL (LALIN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.35,11.00,7.25,10.10,"782,365"
12/31/2020,5.15,8.10,3.68,7.35,???
12/31/2019,4.82,5.80,4.56,5.15,???
12/31/2018,4.96,6.70,4.78,4.82,???
12/29/2017,4.12,5.25,4.01,4.96,"400,363"
12/30/2016,3.28,4.32,3.26,4.12,"394,995"
12/31/2015,3.66,4.17,2.93,3.28,"952,198"
12/31/2014,3.51,4.23,3.01,3.66,"2,342,605"
12/31/2013,2.73,4.46,2.69,3.51,"346,988"
12/31/2012,1.94,3.16,1.94,2.73,"462,771"
12/30/2011,2.25,2.68,1.77,1.94,"384,105"
