???Lee Feed Mill PCL (LEE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.30,3.16,2.28,2.78,"2,573,718"
12/31/2020,2.18,2.48,1.84,2.30,???
12/31/2019,2.54,2.72,2.04,2.18,???
12/31/2018,3.08,3.32,2.50,2.54,???
12/29/2017,3.10,3.74,2.90,3.08,"2,970,225"
12/30/2016,2.64,3.22,2.52,3.10,"576,765"
12/31/2015,2.88,3.54,2.46,2.64,"1,969,097"
12/31/2014,2.70,3.28,2.62,2.88,"1,712,735"
12/31/2013,3.66,4.00,2.34,2.70,"1,940,886"
12/31/2012,3.26,4.40,3.24,3.66,"2,026,976"
12/30/2011,3.24,3.38,2.76,3.26,"495,703"
