???Lohakit Metal PCL (LHK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.56,3.92,2.48,3.90,"605,554"
12/31/2020,2.72,2.94,1.81,2.56,???
12/31/2019,3.76,4.04,2.64,2.72,???
12/31/2018,4.50,5.25,3.68,3.76,???
12/29/2017,3.66,4.96,3.52,4.50,"1,716,190"
12/30/2016,2.76,3.90,2.56,3.66,"572,614"
12/31/2015,3.28,3.78,2.68,2.76,"325,701"
12/31/2014,3.34,3.90,3.02,3.28,"519,162"
12/31/2013,3.42,4.80,3.24,3.34,"1,031,590"
12/31/2012,2.42,3.84,2.40,3.42,"917,969"
12/30/2011,3.36,3.52,2.04,2.42,"668,128"
