???Loxley PCL (LOXLEY) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.61,2.96,1.60,2.72,"15,698,323"
12/31/2020,1.36,1.72,0.70,1.61,???
12/31/2019,1.63,2.48,1.33,1.36,???
12/31/2018,2.46,2.78,1.63,1.63,???
12/29/2017,3.12,3.96,2.34,2.46,"12,163,489"
12/30/2016,2.32,3.50,2.24,3.12,"16,534,005"
12/31/2015,4.26,4.78,2.14,2.32,"7,661,965"
12/31/2014,3.60,5.10,3.10,4.26,"21,704,567"
12/31/2013,4.81,8.24,3.58,3.60,"38,815,615"
12/31/2012,2.93,5.43,2.93,4.81,"44,718,430"
12/30/2011,2.63,4.04,2.30,2.93,"39,417,331"
