???Laguna Resorts & Hotels PCL (LRH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,26.75,36.00,26.50,33.50,"9,593"
12/31/2020,43.00,43.00,25.00,26.75,???
12/31/2019,49.00,68.75,40.00,43.00,???
12/31/2018,23.50,53.00,22.50,49.00,???
12/29/2017,24.60,29.25,22.90,23.50,"46,284"
12/30/2016,23.30,29.00,22.00,24.60,"25,631"
12/31/2015,29.25,32.00,22.80,23.30,"13,475"
12/31/2014,27.50,39.00,24.80,29.25,"34,500"
12/31/2013,34.50,50.25,26.00,27.50,"123,923"
12/31/2012,47.75,49.00,32.00,34.50,"20,327"
12/30/2011,57.00,79.75,45.00,47.75,"13,927"
