???MK Restaurant Group PCL (M) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,49.25,60.25,47.75,56.00,"1,625,968"
12/31/2020,70.50,72.50,40.00,49.25,???
12/31/2019,74.75,81.00,67.75,70.50,???
12/31/2018,85.75,91.25,67.00,74.75,???
12/29/2017,58.50,88.75,55.50,85.75,"516,130"
12/30/2016,57.50,61.25,47.00,58.50,"434,512"
12/31/2015,58.50,62.50,53.00,57.50,"473,728"
12/31/2014,51.25,67.25,47.50,58.50,"956,632"
12/31/2013,54.50,55.50,40.00,51.25,"4,218,927"
08/15/2013,54.50,55.50,52.50,53.00,"131,190,700"
