???Master Ad PCL (MACO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.64,0.83,0.63,0.72,"24,914,908"
12/31/2020,1.43,1.50,0.46,0.64,???
12/31/2019,1.52,1.65,1.08,1.43,???
12/31/2018,2.02,2.26,1.47,1.52,???
12/29/2017,1.21,2.28,1.14,2.02,"21,679,939"
12/30/2016,0.91,1.66,0.77,1.21,"27,369,025"
12/31/2015,1.44,1.69,0.78,0.91,"10,333,037"
12/31/2014,0.75,2.34,0.67,1.44,"28,438,175"
12/31/2013,1.06,1.30,0.72,0.75,"7,089,256"
12/31/2012,0.28,1.09,0.28,1.06,"8,970,235"
12/30/2011,0.18,0.30,0.15,0.28,"4,690,468"
