???Major Cineplex Group PLC (MAJOR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,18.30,23.70,16.50,22.30,"4,120,785"
12/31/2020,25.25,25.75,11.20,18.30,???
12/31/2019,20.60,30.75,20.20,25.25,???
12/31/2018,29.00,30.50,20.20,20.60,???
12/29/2017,32.75,36.50,27.75,29.00,"2,213,109"
12/30/2016,35.25,36.25,23.70,32.75,"2,216,983"
12/31/2015,27.75,44.00,26.00,35.25,"1,785,602"
12/31/2014,17.50,29.00,15.30,27.75,"2,102,487"
12/31/2013,19.00,24.90,14.70,17.50,"3,534,755"
12/31/2012,14.30,21.70,14.20,19.00,"3,158,994"
12/30/2011,12.90,16.70,10.30,14.30,"5,513,026"
