???Malee Group PCL (MALEE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.45,8.75,6.20,7.20,"791,199"
12/31/2020,6.50,9.45,3.22,6.45,???
12/31/2019,8.00,10.70,6.45,6.50,???
12/31/2018,38.25,39.75,7.80,8.00,???
12/29/2017,57.50,101.50,32.00,38.25,"2,070,439"
12/30/2016,14.25,59.75,13.38,57.50,"1,553,520"
12/31/2015,13.75,19.63,13.13,14.25,"371,617"
12/31/2014,15.00,23.00,12.45,13.75,"675,800"
12/31/2013,28.38,37.75,12.50,15.00,"1,741,185"
12/31/2012,5.40,29.13,4.78,28.38,"10,951,516"
12/30/2011,2.05,5.60,1.95,5.40,"25,147,224"
