???Mandarin Hotel PCL (MANRIN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,28.25,29.00,22.40,23.80,"0,822"
12/31/2020,32.75,39.00,20.30,28.25,???
12/31/2019,30.00,36.00,28.25,32.75,"0,785"
12/31/2018,39.50,40.25,25.00,30.00,???
12/29/2017,30.00,45.00,26.00,39.50,"0,767"
12/30/2016,28.00,31.75,25.00,30.00,"1,073"
12/31/2015,29.00,36.00,24.50,28.00,"3,475"
12/31/2014,23.70,31.50,21.50,29.00,"6,023"
12/31/2013,18.30,35.00,18.10,23.70,"9,819"
12/31/2012,10.00,24.20,10.00,18.30,"22,239"
12/30/2011,11.50,12.90,9.00,10.00,"3,762"
