???Matching Maximize Solution PCL (MATCH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.55,2.24,1.43,1.78,"64,523"
12/31/2020,1.57,1.91,0.65,1.55,"373,769"
12/31/2019,2.10,2.16,1.53,1.57,???
12/31/2018,1.80,2.20,1.62,2.10,???
12/29/2017,1.80,2.30,1.72,1.80,"1,076,064"
12/30/2016,1.68,2.20,1.53,1.80,"583,336"
12/31/2015,2.50,2.92,1.64,1.68,"820,806"
12/31/2014,2.60,3.58,2.00,2.50,"3,760,621"
12/31/2013,5.85,6.15,1.98,2.60,"3,817,141"
12/31/2012,1.79,7.40,1.43,5.85,"103,662"
12/30/2011,2.08,2.70,1.70,1.79,"103,847"
