???Matichon PCL (MATI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.42,8.00,4.22,6.45,"15,966"
12/31/2020,4.64,5.10,2.88,4.42,???
12/31/2019,4.90,5.40,4.44,4.64,???
12/31/2018,8.40,9.00,4.90,4.90,"23,680"
12/29/2017,6.10,12.70,5.50,8.40,"78,996"
12/30/2016,6.40,6.70,4.90,6.10,"5,822"
12/31/2015,6.75,8.50,5.55,6.40,"38,258"
12/31/2014,6.80,9.40,6.05,6.75,"46,280"
12/31/2013,6.80,11.30,6.30,6.80,"460,628"
12/31/2012,5.90,11.60,4.60,6.80,"464,755"
12/30/2011,6.85,7.30,5.25,5.90,"29,904"
