???Max Metal Corp PCL (MAX) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.01,0.02,0.01,0.01,"164,979,200"
12/31/2020,0.02,0.02,0.01,0.01,???
12/31/2019,0.02,0.03,0.01,0.02,???
12/31/2018,0.03,0.04,0.01,0.02,???
12/29/2017,0.09,0.10,0.02,0.03,"20,733,100"
12/30/2016,0.23,0.26,0.08,0.09,"417,667,000"
12/31/2015,0.62,0.98,0.18,0.23,"0,000"
12/31/2014,0.15,1.18,0.13,0.62,"0,000"
12/31/2013,0.29,0.53,0.14,0.15,"0,000"
12/31/2012,0.15,0.32,0.14,0.29,"0,000"
12/30/2011,0.19,0.23,0.13,0.15,"1,481,000"
