???Multibax PCL (MBAX) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.95,8.60,5.60,6.30,"2,570,259"
12/31/2020,3.10,8.75,2.60,6.95,???
12/31/2019,3.96,4.40,2.34,3.10,???
12/31/2018,4.98,5.00,3.58,3.96,???
12/29/2017,4.96,6.00,4.76,4.98,"682,133"
12/30/2016,5.35,6.10,4.76,4.96,"185,195"
12/31/2015,3.98,8.35,3.86,5.35,"1,464,651"
12/31/2014,2.12,5.10,2.06,3.98,"838,234"
12/31/2013,4.76,5.75,2.00,2.12,"841,261"
12/31/2012,2.00,6.50,2.00,4.76,"3,373,529"
12/30/2011,1.76,2.92,1.55,2.00,"273,225"
