???MBK PCL (MBK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,12.60,15.80,12.00,14.40,"3,409,643"
12/31/2020,21.20,22.10,10.70,12.60,???
12/31/2019,20.60,24.50,18.90,21.20,???
12/31/2018,19.40,27.00,17.70,20.60,???
12/29/2017,14.50,23.60,14.40,19.40,"3,768,678"
12/30/2016,14.20,15.50,13.80,14.50,"228,035"
12/31/2015,14.60,16.30,13.20,14.20,"362,674"
12/31/2014,14.00,17.50,12.80,14.60,"455,022"
12/31/2013,10.90,18.85,10.70,14.00,"4,101,721"
12/31/2012,8.83,12.85,8.80,10.90,"2,394,634"
12/30/2011,10.40,10.40,8.40,8.83,"483,324"
